id_etudiant,matricule,email_etudiant,nom,prenom,genre,date_naissance,niveau_socio_economique,id_filiere,annee_entree,ville_origine,situation_matrimoniale,nb_enfants_a_charge,estime_de_soi,trait_personnalite,mention_baccalaureat,serie_terminale,decrochage_anterieur,frequence_etude_lecons,interet_lecture_ecriture
1,ETU0001,clment.ndzana0001@gmail.com,Ndzana,Clément,M,2002-11-04,Élevé,3,2022,Yaoundé,En couple,0,Élevée,Extraverti,Passable,C,0,Parfois,Élevé
2,ETU0002,athomas0002@gmail.com,Thomas,Armand,M,2002-01-01,Moyen,3,2022,Bafoussam,Célibataire,1,Moyenne,Ambiverti,Passable,A,0,Parfois,Élevé
3,ETU0003,isabelle.camara0003@gmail.com,Camara,Isabelle,F,2002-06-26,Élevé,1,2022,Bafoussam,Marié(e),0,Élevée,Introverti,Assez Bien,G,0,Régulièrement,Élevé
4,ETU0004,batricel0004@gmail.com,Lobe,Béatrice,F,2003-07-26,Moyen,4,2022,Yaoundé,Célibataire,1,Faible,Introverti,Bien,C,0,Intensivement,Moyen
5,ETU0005,zachariew0005@outlook.com,Wamba,Zacharie,M,2002-02-25,Faible,9,2023,Bamenda,Célibataire,0,Faible,Extraverti,Très Bien,C,0,Jamais,Élevé
6,ETU0006,rosaliem0006@gmail.com,Michel,Rosalie,F,1999-07-19,Faible,1,2023,Douala,Marié(e),0,Moyenne,Consciencieux,Bien,C,0,Intensivement,Élevé
7,ETU0007,irneu0007@gmail.com,Umba,Irène,F,2004-06-13,Moyen,9,2021,Bamenda,Célibataire,0,Élevée,Extraverti,Très Bien,D,0,Régulièrement,Moyen
8,ETU0008,estherp0008@gmail.com,Petit,Esther,F,2001-09-16,Moyen,3,2020,Bertoua,Célibataire,0,Moyenne,Introverti,Bien,G,0,Parfois,Moyen
9,ETU0009,didierb0009@gmail.com,Bernard,Didier,M,2001-12-23,Moyen,7,2021,Garoua,Marié(e),0,Faible,Introverti,Bien,A,0,Régulièrement,Faible
10,ETU0010,dissa0010@orange.cm,Issa,Didier,M,2005-11-17,Élevé,10,2022,Garoua,En couple,0,Élevée,Extraverti,Assez Bien,G,0,Intensivement,Élevé
11,ETU0011,jsimon0011@gmail.com,Simon,Joëlle,F,2001-05-15,Faible,5,2021,Yaoundé,Célibataire,0,Élevée,Ambiverti,Passable,C,0,Jamais,Faible
12,ETU0012,amartin0012@outlook.com,Martin,André,M,1998-10-13,Moyen,6,2022,Ngaoundéré,Célibataire,0,Moyenne,Consciencieux,Bien,G,0,Régulièrement,Moyen
13,ETU0013,didier.issa0013@yahoo.fr,Issa,Didier,M,1998-07-19,Moyen,1,2020,Ngaoundéré,Marié(e),0,Élevée,Anxieux,Passable,C,0,Rarement,Moyen
14,ETU0014,fatimar0014@outlook.com,Richard,Fatima,F,1998-12-18,Faible,6,2021,Bertoua,Célibataire,0,Faible,Anxieux,Passable,G,0,Jamais,Faible
15,ETU0015,zkamga0015@yahoo.fr,Kamga,Zahra,F,1999-03-10,Faible,1,2022,Douala,En couple,1,Moyenne,Ambiverti,Passable,D,0,Régulièrement,Faible
16,ETU0016,wleroy0016@hotmail.fr,Leroy,William,M,2004-11-12,Faible,6,2020,Bertoua,En couple,2,Faible,Extraverti,Assez Bien,G,0,Intensivement,Moyen
17,ETU0017,danielle.ndzana0017@hotmail.fr,Ndzana,Danielle,F,2002-06-28,Faible,2,2022,Maroua,Célibataire,0,Élevée,Extraverti,Bien,C,0,Parfois,Faible
18,ETU0018,margueritea0018@outlook.com,Atangana,Marguerite,F,2001-02-08,Moyen,8,2021,Bamenda,Célibataire,0,Élevée,Ambiverti,Passable,C,0,Parfois,Moyen
19,ETU0019,marguerite.wamba0019@gmail.com,Wamba,Marguerite,F,2003-12-15,Faible,5,2021,Maroua,Célibataire,0,Faible,Consciencieux,Très Bien,D,0,Régulièrement,Moyen
20,ETU0020,marc.toure0020@gmail.com,Toure,Marc,M,2001-06-06,Moyen,9,2021,Bafoussam,Célibataire,0,Moyenne,Extraverti,Passable,G,0,Régulièrement,Élevé
21,ETU0021,quentinr0021@gmail.com,Richard,Quentin,M,1999-02-13,Moyen,10,2020,Bertoua,Célibataire,1,Élevée,Extraverti,Passable,D,0,Rarement,Moyen
22,ETU0022,pthomas0022@yahoo.fr,Thomas,Pauline,F,2002-10-20,Faible,2,2021,Maroua,Célibataire,0,Moyenne,Introverti,Passable,A,1,Rarement,Moyen
23,ETU0023,liseb0023@yahoo.fr,Biyong,Élise,F,2001-05-26,Moyen,10,2021,Bertoua,Célibataire,1,Moyenne,Anxieux,Passable,A,1,Rarement,Élevé
24,ETU0024,didiera0024@yahoo.fr,Abomo,Didier,M,2002-12-13,Élevé,9,2023,Maroua,En couple,0,Faible,Anxieux,Assez Bien,C,0,Régulièrement,Élevé
25,ETU0025,lrichard0025@orange.cm,Richard,Louis,M,2005-05-06,Élevé,7,2023,Yaoundé,Célibataire,2,Moyenne,Consciencieux,Bien,G,0,Régulièrement,Élevé
26,ETU0026,fatimav0026@outlook.com,Vidal,Fatima,F,2002-06-04,Élevé,7,2020,Maroua,Célibataire,0,Élevée,Introverti,Assez Bien,D,0,Rarement,Élevé
27,ETU0027,madeleine.simon0027@gmail.com,Simon,Madeleine,F,1999-01-21,Moyen,4,2021,Maroua,En couple,0,Moyenne,Consciencieux,Très Bien,F,0,Rarement,Faible
28,ETU0028,grichard0028@hotmail.fr,Richard,Gisèle,F,2001-08-18,Faible,4,2021,Bertoua,En couple,1,Élevée,Ambiverti,Assez Bien,G,0,Régulièrement,Faible
29,ETU0029,cleroy0029@yahoo.fr,Leroy,Christophe,M,2005-06-11,Moyen,9,2023,Ngaoundéré,Célibataire,0,Élevée,Anxieux,Passable,C,0,Intensivement,Moyen
