"id_parents";"id_etudiant";"pere_vivant";"nom_pere";"prenom_pere";"email_pere";"niveau_instruction_pere";"niveau_socioprofessionnel_pere";"revenu_mensuel_pere_fcfa";"mere_vivante";"nom_mere";"prenom_mere";"email_mere";"niveau_instruction_mere";"niveau_socioprofessionnel_mere";"revenu_mensuel_mere_fcfa";"nb_enfants_famille";"revenu_total_famille_fcfa";"rang_dans_fratrie";"famille_monoparentale";"soutien_financier_famille"
"1";"1";"1";"Ndzana";"Théodore";"th.ndza.p1@gmail.com";"BTS/DUT";"Cadre supérieur";"384696";"1";"Ndzana";"Madeleine";"ma.ndza.m1@gmail.com";"Doctorat";"Chef d'entreprise";"1355050";"6";"1739746";"4";"0";"Total"
"2";"2";"1";"Thomas";"Albert";"al.thom.p2@gmail.com";"BTS/DUT";"Fonctionnaire";"182117";"1";"Ebene";"Madeleine";"ma.eben.m2@gmail.com";"Primaire";"Chef d'entreprise";"1521730";"4";"1703847";"4";"0";"Total"
"3";"3";"1";"Camara";"Jean";"je.cama.p3@gmail.com";"BTS/DUT";"Fonctionnaire";"218019";"0";"Camara";"Yvette";"yv.cama.m3@gmail.com";"Baccalauréat";"Cadre supérieur";"462195";"6";"680214";"4";"0";"Total"
"4";"4";"1";"Lobe";"Marcel";"ma.lobe.p4@gmail.com";"Licence";"Cadre moyen";"323553";"1";"Gomis";"Rose";"ro.gomi.m4@gmail.com";"BEPC/FSLC";"Cadre supérieur";"780396";"4";"1103949";"1";"0";"Partiel"
"5";"5";"0";"Wamba";"Pierre";"pi.wamb.p5@gmail.com";"BEPC/FSLC";"Agriculteur/Éleveur";"83074";"0";"Vidal";"Cécile";"cé.vida.m5@gmail.com";"BEPC/FSLC";"Fonctionnaire";"107001";"5";"190075";"3";"0";"Aucun"
"6";"6";"1";"Michel";"Hervé";"he.mich.p6@gmail.com";"Baccalauréat";"Agriculteur/Éleveur";"27862";"1";"Michel";"Angèle";"an.mich.m6@gmail.com";"BEPC/FSLC";"Ouvrier/Artisan";"49619";"6";"77481";"4";"0";"Partiel"
"7";"7";"0";"Rodrigues";"Henri";"he.rodr.p7@gmail.com";"Aucun";"Employé secteur informel";"62478";"1";"Umba";"Thérèse";"th.umba.m7@gmail.com";"Baccalauréat";"Cadre moyen";"264452";"2";"326930";"3";"1";"Total"
"8";"8";"1";"Petit";"Paul";"pa.peti.p8@gmail.com";"Primaire";"Fonctionnaire";"204093";"1";"Petit";"Jeanne";"je.peti.m8@gmail.com";"Baccalauréat";"Employé secteur informel";"44444";"6";"248537";"5";"0";"Total"
"9";"9";"1";"Bernard";"Pierre";"pi.bern.p9@gmail.com";"Doctorat";"Fonctionnaire";"150089";"1";"Bernard";"Marie";"ma.bern.m9@gmail.com";"Baccalauréat";"Employé secteur informel";"49510";"5";"199599";"4";"1";"Total"
"10";"10";"1";"Issa";"Pierre";"pi.issa.p10@gmail.com";"Master/Grande école";"Cadre moyen";"266187";"1";"Issa";"Rose";"ro.issa.m10@gmail.com";"Master/Grande école";"Employé secteur informel";"94881";"1";"361068";"4";"0";"Total"
